Slno,Regn. No.,"CE
102",(3),"CH
101",(4),"CH
111",(2),"CS
101",(4),"CS
111",(2),EAA01,(0),EAA02,(0),"EC
101",(4),"EC
111",(2),"MA
102",(4),"ME
111",(2),GP,SGPA,CGPA,EAA
1,2311001,7,BC,7,BC,10,AA,7,BC,10,AA,,,,,9,AB,9,AB,9,AB,10,AA,227,8.41,7.62,-
2,2311002,5,CD,4,DD,9,AB,4,DD,5,CD,,,,,4,DD,7,BC,5,CD,0,F,125,4.63,4.65,-
3,2311003,5,CD,4,DD,8,BB,5,CD,6,CC,,,,,5,CD,9,AB,5,CD,6,CC,149,5.52,5.56,-
4,2311004,6,CC,5,CD,9,AB,5,CD,6,CC,,,,,5,CD,8,BB,5,CD,9,AB,162,6.00,5.91,-
5,2311005,9,AB,7,BC,10,AA,8,BB,10,AA,,,,,7,BC,9,AB,8,BB,8,BB,221,8.19,6.95,-
6,2311006,6,CC,5,CD,9,AB,6,CC,6,CC,,,,,4,DD,8,BB,5,CD,7,BC,158,5.85,2.87,-
7,2311007,4,DD,5,CD,8,BB,5,CD,8,BB,,,,,4,DD,8,BB,7,BC,10,AA,164,6.07,5.87,-
8,2311008,7,BC,5,CD,10,AA,5,CD,8,BB,,,,,5,CD,8,BB,7,BC,6,CC,173,6.41,6.24,-
9,2311009,7,BC,6,CC,8,BB,7,BC,9,AB,,,,,6,CC,8,BB,5,CD,7,BC,181,6.70,6.33,-
10,2311010,8,BB,8,BB,10,AA,10,AA,10,AA,,,,,9,AB,8,BB,8,BB,8,BB,236,8.74,8.02,-
11,2311011,7,BC,8,BB,10,AA,7,BC,7,BC,,,,,9,AB,9,AB,8,BB,9,AB,219,8.11,7.65,-
12,2311012,9,AB,9,AB,9,AB,7,BC,8,BB,,,,,7,BC,8,BB,9,AB,9,AB,223,8.26,7.31,-
13,2311013,8,BB,8,BB,9,AB,6,CC,6,CC,,,,,7,BC,8,BB,7,BC,9,AB,200,7.41,7.33,-
14,2311014,8,BB,8,BB,9,AB,7,BC,9,AB,,,,,6,CC,9,AB,8,BB,9,AB,212,7.85,7.51,-
15,2311015,6,CC,4,DD,8,BB,5,CD,7,BC,,,,,6,CC,9,AB,6,CC,7,BC,164,6.07,5.24,-
16,2311016,0,F,0,F,0,F,0,F,0,F,,,,,0,F,0,F,0,F,0,F,0,0.00,0,-
17,2311017,7,BC,6,CC,8,BB,6,CC,10,AA,,,,,8,BB,8,BB,8,BB,8,BB,201,7.44,7.33,-
18,2311018,8,BB,9,AB,9,AB,8,BB,8,BB,,,,,8,BB,9,AB,8,BB,10,AA,228,8.44,8.33,-
19,2311019,7,BC,7,BC,9,AB,5,CD,8,BB,,,,,8,BB,9,AB,5,CD,9,AB,191,7.07,6.69,-
20,2311020,9,AB,9,AB,9,AB,7,BC,7,BC,,,,,9,AB,9,AB,9,AB,7,BC,227,8.41,8.07,-
21,2311021,6,CC,5,CD,8,BB,5,CD,8,BB,,,,,7,BC,8,BB,5,CD,7,BC,168,6.22,5.95,-
22,2311022,8,BB,8,BB,10,AA,7,BC,9,AB,,,,,7,BC,9,AB,8,BB,7,BC,214,7.93,7.75,-
23,2311023,7,BC,6,CC,8,BB,5,CD,8,BB,,,,,6,CC,9,AB,5,CD,7,BC,173,6.41,5.98,-
24,2311024,8,BB,7,BC,9,AB,8,BB,9,AB,,,,,6,CC,8,BB,6,CC,10,AA,204,7.56,7.09,-
25,2311025,8,BB,5,CD,9,AB,5,CD,8,BB,,,,,4,DD,8,BB,0,F,7,BC,144,5.33,4.47,-
26,2311026,9,AB,9,AB,9,AB,7,BC,8,BB,,,,,8,BB,8,BB,9,AB,8,BB,225,8.33,8.15,-
27,2311027,10,AA,9,AB,10,AA,8,BB,7,BC,,,,,9,AB,9,AB,8,BB,9,AB,236,8.74,8.62,-
28,2311028,9,AB,8,BB,9,AB,9,AB,9,AB,,,,,9,AB,9,AB,8,BB,9,AB,235,8.70,8.49,-
29,2311029,7,BC,7,BC,10,AA,7,BC,9,AB,,,,,8,BB,8,BB,7,BC,8,BB,207,7.67,7.71,-
Slno,Regn. No.,CE102,(3),CH101,(4),CH111,(2),CS101,(4),CS111,(2),EAA01,(0),EAA02,(0),EC101,(4),EC111,(2),MA102,(4),ME111,(2),GP,SGPA,CGPA,EAA
30,2311030,7,BC,5,CD,9,AB,5,CD,8,BB,,,,,5,CD,8,BB,5,CD,9,AB,169,6.26,5.49,-
31,2311031,10,AA,10,AA,9,AB,9,AB,10,AA,,,,,10,AA,9,AB,10,AA,7,BC,256,9.48,9.29,-
32,2311032,7,BC,8,BB,9,AB,10,AA,10,AA,,,,,7,BC,9,AB,7,BC,7,BC,219,8.11,7.93,-
33,2311033,9,AB,9,AB,9,AB,9,AB,9,AB,,,,,9,AB,10,AA,10,AA,10,AA,251,9.30,9.02,-
34,2311034,7,BC,9,AB,9,AB,7,BC,8,BB,,,,,9,AB,9,AB,8,BB,7,BC,219,8.11,7.69,-
35,2311035,8,BB,8,BB,9,AB,6,CC,7,BC,,,,,8,BB,9,AB,6,CC,7,BC,200,7.41,7.24,-
36,2311036,8,BB,9,AB,9,AB,7,BC,7,BC,,,,,7,BC,8,BB,7,BC,7,BC,206,7.63,7.62,-
37,2311037,9,AB,9,AB,9,AB,8,BB,7,BC,,,,,7,BC,9,AB,7,BC,7,BC,215,7.96,7.93,-
38,2311038,8,BB,9,AB,9,AB,9,AB,7,BC,,,,,9,AB,9,AB,9,AB,9,AB,236,8.74,8.64,-
39,2311039,7,BC,6,CC,10,AA,6,CC,9,AB,,,,,7,BC,8,BB,6,CC,7,BC,189,7.00,6.42,-
40,2311040,4,DD,4,DD,8,BB,5,CD,6,CC,,,,,4,DD,8,BB,4,DD,8,BB,140,5.19,4.76,-
41,2311041,7,BC,9,AB,10,AA,8,BB,9,AB,,,,,7,BC,9,AB,9,AB,9,AB,227,8.41,8.22,-
42,2311042,6,CC,6,CC,9,AB,5,CD,8,BB,,,,,5,CD,10,AA,8,BB,7,BC,182,6.74,6.87,-
43,2311043,8,BB,6,CC,10,AA,7,BC,10,AA,,,,,5,CD,8,BB,6,CC,6,CC,188,6.96,7.15,-
44,2311044,8,BB,5,CD,9,AB,6,CC,9,AB,,,,,6,CC,9,AB,5,CD,9,AB,184,6.81,6.4,-
45,2311045,8,BB,4,DD,9,AB,7,BC,9,AB,,,,,4,DD,6,CC,0,F,7,BC,146,5.41,4.56,-
46,2311046,10,AA,9,AB,8,BB,9,AB,10,AA,,,,,9,AB,8,BB,8,BB,8,BB,238,8.81,8.6,-
47,2311047,6,CC,5,CD,9,AB,6,CC,6,CC,,,,,5,CD,7,BC,6,CC,6,CC,162,6.00,5.89,-
48,2311048,10,AA,9,AB,9,AB,8,BB,9,AB,,,,,7,BC,9,AB,8,BB,9,AB,230,8.52,7.84,-
49,2311049,7,BC,6,CC,9,AB,5,CD,8,BB,,,,,4,DD,6,CC,5,CD,7,BC,161,5.96,5.29,-
50,2311050,6,CC,5,CD,10,AA,6,CC,9,AB,,,,,7,BC,8,BB,7,BC,8,BB,188,6.96,6.67,-
51,2311051,6,CC,6,CC,8,BB,6,CC,6,CC,,,,,5,CD,7,BC,6,CC,7,BC,166,6.15,5.76,-
52,2311052,8,BB,6,CC,9,AB,7,BC,8,BB,,,,,6,CC,9,AB,8,BB,9,AB,202,7.48,6.87,-
53,2311053,7,BC,5,CD,9,AB,6,CC,7,BC,,,,,5,CD,8,BB,5,CD,8,BB,169,6.26,5.65,-
54,2311054,9,AB,7,BC,9,AB,7,BC,7,BC,,,,,6,CC,8,BB,7,BC,6,CC,195,7.22,6.82,-
55,2311055,7,BC,6,CC,9,AB,7,BC,9,AB,,,,,7,BC,8,BB,7,BC,10,AA,201,7.44,7.04,-
