regn_no,semester,subject_code,credits,grade_point,grade
2311001,3,CE 201,4,8.0,BB
2311001,3,CE 202,3,9.0,AB
2311001,3,CE 203,3,8.0,BB
2311001,3,CE 204,4,9.0,AB
2311001,3,CE 205,3,8.0,BB
2311001,3,CE 211,2,10.0,AA
2311001,3,CE 212,2,10.0,AA
2311001,3,CE 213,2,10.0,AA
2311001,3,MA 201,4,8.0,BB
2311002,3,CE 201,4,4.0,DD
2311002,3,CE 202,3,7.0,BC
2311002,3,CE 203,3,5.0,CD
2311002,3,CE 204,4,5.0,CD
2311002,3,CE 205,3,0.0,F
2311002,3,CE 211,2,8.0,BB
2311002,3,CE 212,2,9.0,AB
2311002,3,CE 213,2,9.0,AB
2311002,3,MA 201,4,0.0,F
2311003,3,CE 201,4,4.0,DD
2311003,3,CE 202,3,5.0,CD
2311003,3,CE 203,3,4.0,DD
2311003,3,CE 204,4,4.0,DD
2311003,3,CE 205,3,0.0,F
2311003,3,CE 211,2,9.0,AB
2311003,3,CE 212,2,9.0,AB
2311003,3,CE 213,2,8.0,BB
2311003,3,MA 201,4,4.0,DD
2311004,3,CE 201,4,4.0,DD
2311004,3,CE 202,3,5.0,CD
2311004,3,CE 203,3,6.0,CC
2311004,3,CE 204,4,7.0,BC
2311004,3,CE 205,3,0.0,F
2311004,3,CE 211,2,10.0,AA
2311004,3,CE 212,2,9.0,AB
2311004,3,CE 213,2,10.0,AA
2311004,3,MA 201,4,0.0,F
2311005,3,CE 201,4,8.0,BB
2311005,3,CE 202,3,8.0,BB
2311005,3,CE 203,3,7.0,BC
2311005,3,CE 204,4,8.0,BB
2311005,3,CE 205,3,6.0,CC
2311005,3,CE 211,2,10.0,AA
2311005,3,CE 212,2,9.0,AB
2311005,3,CE 213,2,9.0,AB
2311005,3,MA 201,4,4.0,DD
2311006,3,CE 201,4,7.0,BC
2311006,3,CE 202,3,7.0,BC
2311006,3,CE 203,3,5.0,CD
2311006,3,CE 204,4,7.0,BC
2311006,3,CE 205,3,4.0,DD
2311006,3,CE 211,2,9.0,AB
2311006,3,CE 212,2,9.0,AB
2311006,3,CE 213,2,8.0,BB
2311006,3,MA 201,4,0.0,F
2311007,3,CE 201,4,7.0,BC
2311007,3,CE 202,3,6.0,CC
2311007,3,CE 203,3,5.0,CD
2311007,3,CE 204,4,7.0,BC
2311007,3,CE 205,3,0.0,F
2311007,3,CE 211,2,10.0,AA
2311007,3,CE 212,2,10.0,AA
2311007,3,CE 213,2,10.0,AA
2311007,3,MA 201,4,6.0,CC
2311008,3,CE 201,4,8.0,BB
2311008,3,CE 202,3,9.0,AB
2311008,3,CE 203,3,10.0,AA
2311008,3,CE 204,4,9.0,AB
2311008,3,CE 205,3,8.0,BB
2311008,3,CE 211,2,10.0,AA
2311008,3,CE 212,2,9.0,AB
2311008,3,CE 213,2,9.0,AB
2311008,3,MA 201,4,5.0,CD
2311009,3,CE 201,4,6.0,CC
2311009,3,CE 202,3,6.0,CC
2311009,3,CE 203,3,6.0,CC
2311009,3,CE 204,4,7.0,BC
2311009,3,CE 205,3,4.0,DD
2311009,3,CE 211,2,10.0,AA
2311009,3,CE 212,2,9.0,AB
2311009,3,CE 213,2,9.0,AB
2311009,3,MA 201,4,4.0,DD
2311010,3,CE 201,4,7.0,BC
2311010,3,CE 202,3,8.0,BB
2311010,3,CE 203,3,8.0,BB
2311010,3,CE 204,4,10.0,AA
2311010,3,CE 205,3,8.0,BB
2311010,3,CE 211,2,10.0,AA
2311010,3,CE 212,2,9.0,AB
2311010,3,CE 213,2,10.0,AA
2311010,3,MA 201,4,7.0,BC
2311011,3,CE 201,4,8.0,BB
2311011,3,CE 202,3,9.0,AB
2311011,3,CE 203,3,10.0,AA
2311011,3,CE 204,4,9.0,AB
2311011,3,CE 205,3,8.0,BB
2311011,3,CE 211,2,10.0,AA
2311011,3,CE 212,2,9.0,AB
2311011,3,CE 213,2,8.0,BB
2311011,3,MA 201,4,5.0,CD
2311012,3,CE 201,4,7.0,BC
2311012,3,CE 202,3,9.0,AB
2311012,3,CE 203,3,8.0,BB
2311012,3,CE 204,4,10.0,AA
2311012,3,CE 205,3,7.0,BC
2311012,3,CE 211,2,10.0,AA
2311012,3,CE 212,2,9.0,AB
2311012,3,CE 213,2,10.0,AA
2311012,3,MA 201,4,6.0,CC
2311013,3,CE 201,4,8.0,BB
2311013,3,CE 202,3,9.0,AB
2311013,3,CE 203,3,8.0,BB
2311013,3,CE 204,4,9.0,AB
2311013,3,CE 205,3,5.0,CD
2311013,3,CE 211,2,10.0,AA
2311013,3,CE 212,2,9.0,AB
2311013,3,CE 213,2,9.0,AB
2311013,3,MA 201,4,6.0,CC
2311014,3,CE 201,4,6.0,CC
2311014,3,CE 202,3,9.0,AB
2311014,3,CE 203,3,10.0,AA
2311014,3,CE 204,4,9.0,AB
2311014,3,CE 205,3,7.0,BC
2311014,3,CE 211,2,10.0,AA
2311014,3,CE 212,2,10.0,AA
2311014,3,CE 213,2,9.0,AB
2311014,3,MA 201,4,7.0,BC
2311015,3,CE 201,4,5.0,CD
2311015,3,CE 202,3,6.0,CC
2311015,3,CE 203,3,6.0,CC
2311015,3,CE 204,4,7.0,BC
2311015,3,CE 205,3,0.0,F
2311015,3,CE 211,2,10.0,AA
2311015,3,CE 212,2,9.0,AB
2311015,3,CE 213,2,9.0,AB
2311015,3,MA 201,4,0.0,F
2311016,3,CE 201,4,0.0,F
2311016,3,CE 202,3,0.0,F
2311016,3,CE 203,3,0.0,F
2311016,3,CE 204,4,0.0,F
2311016,3,CE 205,3,0.0,F
2311016,3,CE 211,2,0.0,F
2311016,3,CE 212,2,0.0,F
2311016,3,CE 213,2,0.0,F
2311016,3,MA 201,4,0.0,F
2311017,3,CE 201,4,8.0,BB
2311017,3,CE 202,3,9.0,AB
2311017,3,CE 203,3,8.0,BB
2311017,3,CE 204,4,8.0,BB
2311017,3,CE 205,3,5.0,CD
2311017,3,CE 211,2,10.0,AA
2311017,3,CE 212,2,9.0,AB
2311017,3,CE 213,2,10.0,AA
2311017,3,MA 201,4,7.0,BC
2311018,3,CE 201,4,8.0,BB
2311018,3,CE 202,3,8.0,BB
2311018,3,CE 203,3,9.0,AB
2311018,3,CE 204,4,9.0,AB
2311018,3,CE 205,3,8.0,BB
2311018,3,CE 211,2,10.0,AA
2311018,3,CE 212,2,10.0,AA
2311018,3,CE 213,2,10.0,AA
2311018,3,MA 201,4,8.0,BB
2311019,3,CE 201,4,7.0,BC
2311019,3,CE 202,3,8.0,BB
2311019,3,CE 203,3,8.0,BB
2311019,3,CE 204,4,9.0,AB
2311019,3,CE 205,3,6.0,CC
2311019,3,CE 211,2,10.0,AA
2311019,3,CE 212,2,9.0,AB
2311019,3,CE 213,2,7.0,BC
2311019,3,MA 201,4,6.0,CC
2311020,3,CE 201,4,9.0,AB
2311020,3,CE 202,3,10.0,AA
2311020,3,CE 203,3,10.0,AA
2311020,3,CE 204,4,10.0,AA
2311020,3,CE 205,3,10.0,AA
2311020,3,CE 211,2,10.0,AA
2311020,3,CE 212,2,10.0,AA
2311020,3,CE 213,2,10.0,AA
2311020,3,MA 201,4,6.0,CC
2311021,3,CE 201,4,6.0,CC
2311021,3,CE 202,3,8.0,BB
2311021,3,CE 203,3,6.0,CC
2311021,3,CE 204,4,4.0,DD
2311021,3,CE 205,3,5.0,CD
2311021,3,CE 211,2,9.0,AB
2311021,3,CE 212,2,9.0,AB
2311021,3,CE 213,2,8.0,BB
2311021,3,MA 201,4,0.0,F
2311022,3,CE 201,4,8.0,BB
2311022,3,CE 202,3,10.0,AA
2311022,3,CE 203,3,8.0,BB
2311022,3,CE 204,4,9.0,AB
2311022,3,CE 205,3,7.0,BC
