regn_no,semester,GP,SGPA,CGPA,EAA
2311001,5,244.0,8.71,8.25,Satisfactory
2311002,5,126.0,4.5,4.42,Satisfactory
2311003,5,196.0,7.0,5.83,Satisfactory
2311004,5,186.0,6.64,5.77,Satisfactory
2311005,5,236.0,8.43,7.41,Satisfactory
2311006,5,216.0,7.71,6.2,Satisfactory
2311007,5,204.0,7.29,6.71,Satisfactory
2311008,5,252.0,9.0,7.8,Satisfactory
2311009,5,194.0,6.93,6.64,Satisfactory
2311010,5,242.0,8.64,8.28,Satisfactory
2311011,5,254.0,9.07,8.38,Satisfactory
2311012,5,262.0,9.36,8.33,Satisfactory
2311013,5,250.0,8.93,8.14,Satisfactory
2311014,5,240.0,8.57,8.13,Satisfactory
2311015,5,218.0,7.79,6.7,Satisfactory
2311017,5,232.0,8.29,7.85,Satisfactory
2311018,5,262.0,9.36,8.73,Satisfactory
2311019,5,242.0,8.64,7.65,Satisfactory
2311020,5,262.0,9.36,8.77,Satisfactory
2311021,5,142.0,5.07,6.0,Satisfactory
2311022,5,258.0,9.21,8.4,Satisfactory
2311023,5,248.0,8.86,7.36,Satisfactory
2311024,5,228.0,8.14,7.59,Satisfactory
2311025,5,132.0,4.71,4.85,Satisfactory
2311026,5,250.0,8.93,8.7,Satisfactory
2311027,5,274.0,9.79,9.24,Satisfactory
2311028,5,258.0,9.21,8.78,Satisfactory
2311029,5,250.0,8.93,8.39,Satisfactory
2311030,5,188.0,6.71,6.53,Satisfactory
2311032,5,232.0,8.29,8.21,Satisfactory
2311034,5,260.0,9.29,8.51,Satisfactory
2311035,5,248.0,8.86,7.96,Satisfactory
2311036,5,212.0,7.57,7.75,Satisfactory
2311037,5,248.0,8.86,8.51,Satisfactory
2311038,5,276.0,9.86,9.28,Satisfactory
2311039,5,208.0,7.43,6.62,Satisfactory
2311040,5,148.0,5.29,5.54,Satisfactory
2311042,5,198.0,7.07,6.92,Satisfactory
2311043,5,230.0,8.21,7.73,Satisfactory
2311044,5,220.0,7.86,7.17,Satisfactory
2311045,5,136.0,4.86,4.41,Satisfactory
2311047,5,222.0,7.93,6.88,Satisfactory
2311048,5,242.0,8.64,8.2,Satisfactory
2311049,5,190.0,6.79,6.01,Satisfactory
2311050,5,228.0,8.14,7.41,Satisfactory
2311051,5,232.0,8.29,7.04,Satisfactory
2311052,5,238.0,8.5,7.63,Satisfactory
2311053,5,200.0,7.14,6.43,Satisfactory
2311054,5,228.0,8.14,7.46,Satisfactory
2311055,5,252.0,9.0,7.96,Satisfactory
2311056,5,236.0,8.43,7.72,Satisfactory
2311057,5,230.0,8.21,7.56,Satisfactory
2311059,5,228.0,8.14,7.77,Satisfactory
2311060,5,238.0,8.5,8.12,Satisfactory
2311061,5,238.0,8.5,8.07,Satisfactory
2311062,5,250.0,8.93,8.5,Satisfactory
2311063,5,244.0,8.71,8.43,Satisfactory
2311064,5,216.0,7.71,7.49,Satisfactory
2311065,5,220.0,7.86,6.63,Satisfactory
2311066,5,244.0,8.71,8.14,Satisfactory
2311067,5,208.0,7.43,6.92,Satisfactory
2311069,5,216.0,7.71,6.69,Satisfactory
2311070,5,260.0,9.29,8.69,Satisfactory
2311071,5,220.0,7.86,7.67,Satisfactory
2311072,5,268.0,9.57,8.7,Satisfactory
2311073,5,240.0,8.57,8.12,Satisfactory
2311074,5,222.0,7.93,7.57,Satisfactory
2311075,5,242.0,8.64,7.67,Satisfactory
2311076,5,196.0,7.0,6.54,Satisfactory
2311077,5,246.0,8.79,8.01,Satisfactory
2311078,5,248.0,8.86,8.16,Satisfactory
2311079,5,258.0,9.21,8.91,Satisfactory
2311080,5,198.0,7.07,7.62,Satisfactory
2311081,5,196.0,7.0,6.66,Satisfactory
2311082,5,226.0,8.07,7.91,Satisfactory
2311083,5,228.0,8.14,7.29,Satisfactory
2311084,5,216.0,7.71,7.65,Satisfactory
2311085,5,218.0,7.79,6.78,Satisfactory
2311086,5,228.0,8.14,7.32,Satisfactory
2311087,5,178.0,6.36,5.91,Satisfactory
2311088,5,176.0,6.29,6.23,Satisfactory
2311089,5,200.0,7.14,6.12,Satisfactory
2311090,5,158.0,5.64,5.12,Satisfactory
2311091,5,164.0,5.86,5.9,Satisfactory
2311092,5,220.0,7.86,7.95,Satisfactory
2311093,5,228.0,8.14,7.03,Satisfactory
2311094,5,260.0,9.29,8.72,Satisfactory
2311095,5,198.0,7.07,6.73,Satisfactory
2311096,5,254.0,9.07,8.04,Satisfactory
2311097,5,114.0,4.07,5.28,Satisfactory
2311098,5,208.0,7.43,7.35,Satisfactory
2311100,5,248.0,8.86,8.22,Satisfactory
2311101,5,278.0,9.93,8.62,Satisfactory
2311102,5,198.0,7.07,6.58,Satisfactory
2311103,5,230.0,8.21,7.59,Satisfactory
2311104,5,256.0,9.14,8.48,Satisfactory
2311106,5,270.0,9.64,8.33,Satisfactory
2311107,5,256.0,9.14,8.12,Satisfactory
2311108,5,252.0,9.0,8.41,Satisfactory
2311109,5,220.0,7.86,6.7,Satisfactory
2311110,5,216.0,7.71,7.2,Satisfactory
2311111,5,184.0,6.57,6.08,Satisfactory
2311112,5,154.0,5.5,6.0,Satisfactory
2311113,5,234.0,8.36,7.75,Satisfactory
2311114,5,172.0,6.14,5.62,Satisfactory
2311115,5,146.0,5.21,4.71,Satisfactory
2311116,5,230.0,8.21,6.9,Satisfactory
2311117,5,236.0,8.43,7.65,Satisfactory
2311118,5,200.0,7.14,6.3,Satisfactory
2311119,5,258.0,9.21,8.67,Satisfactory
2311120,5,268.0,9.57,8.51,Satisfactory
2311121,5,80.0,2.86,6.7,Satisfactory
2311122,5,236.0,8.43,7.45,Satisfactory
2311123,5,212.0,7.57,6.89,Satisfactory
2311124,5,186.0,6.64,6.43,Satisfactory
2311125,5,228.0,8.14,7.7,Satisfactory
2311126,5,246.0,8.79,7.44,Satisfactory
2311127,5,214.0,7.64,7.25,Satisfactory
2311128,5,272.0,9.71,9.24,Satisfactory
2311130,5,224.0,8.0,7.41,Satisfactory
