subject_code,credits
CE 101,3
CE 102,3
CE 201,4
CE 202,3
CE 203,3
CE 204,4
CE 205,3
CE 211,2
CE 212,2
CE 213,2
CE 301,4
CE 302,4
CE 303,4
CE 304,4
CE 305,4
CE 306,3
CE 307,4
CE 308,4
CE 309,4
CE 311,2
CE 312,2
CE 313,2
CE 314,2
CE 315,2
CE 316,2
CE 317,2
CE 331,4
CE 332,4
CE 334,4
CE 381,3
CE 382,3
CH 101,4
CH 111,2
CS 101,4
CS 111,2
CS 201,4
CS 202,4
CS 204,4
CS 205,4
CS 206,4
CS 207,4
CS 211,2
CS 212,3
CS 213,2
CS 214,2
CS 215,2
CS 221,3
CS 222,4
CS 223,2
CS 301,4
CS 302,4
CS 303,4
CS 304,4
CS 305,4
CS 311,2
CS 312,2
CS 313,2
CS 314,2
CS 382,3
EC 101,4
EC 111,2
EC 201,3
EC 202,4
EC 203,4
EC 204,3
EC 205,4
EC 206,4
EC 207,4
EC 208,3
EC 209,4
EC 211,2
EC 212,2
EC 213,2
EC 214,2
EC 221,4
EC 222,2
EC 226,2
EC 301,4
EC 302,3
EC 303,4
EC 304,4
EC 305,3
EC 306,3
EC 307,4
EC 308,4
EC 309,4
EC 310,4
EC 311,2
EC 312,2
EC 313,2
EC 314,2
EC 315,2
EC 316,2
EC 333,3
EC 337,3
EC 382,3
EC 389,3
EE 101,4
EE 111,2
EE 201,4
EE 202,4
EE 203,3
EE 204,4
EE 205,4
EE 206,4
EE 207,4
EE 208,4
EE 209,4
EE 210,3
EE 211,2
EE 212,2
EE 213,2
EE 214,2
EE 215,2
EE 221,4
EE 222,2
EE 223,4
EE 224,2
EE 301,4
EE 302,4
EE 303,4
EE 304,4
EE 305,3
EE 311,2
EE 312,2
EE 313,2
EE 314,2
EE 385,3
EI 201,4
EI 202,4
EI 203,4
EI 204,4
EI 205,4
EI 206,4
EI 207,4
EI 208,3
EI 211,2
EI 212,2
EI 213,2
EI 214,2
EI 215,2
EI 216,2
EI 217,2
EI 301,4
EI 302,4
EI 303,3
EI 304,4
EI 305,4
EI 306,4
EI 307,4
EI 308,4
EI 311,2
EI 312,2
EI 313,2
EI 314,3
EI 315,2
EI 316,2
EI 317,2
EI 318,2
EI 331,4
EI 338,3
EI 381,3
EI 382,3
HS 101,3
HS 111,2
MA 101,4
MA 102,4
MA 201,4
MA 221,4
ME 101,4
ME 111,2
ME 201,4
ME 202,4
ME 203,4
ME 204,3
ME 205,3
ME 211,2
ME 212,2
ME 213,2
ME 301,4
ME 302,4
ME 303,4
ME 304,4
ME 305,3
ME 306,3
ME 307,4
ME 308,4
ME 309,4
ME 310,4
ME 311,2
ME 312,2
ME 313,2
ME 314,2
ME 315,2
ME 316,2
ME 332,3
ME 338,3
ME 339,3
ME 381,3
ME 383,3
ME 385,3
ME 5138,3
None,4
PH 101,4
PH 111,2
